Tahun	ADO_I	GDP_I	Oil	FX	Infl	INDEX
1990	18406.8	20754.83	28.35	1880	15.59223	0.235127
1991	20538.3	23404.93	17.75	1994.5	17.14105	0.152546
1992	25003.1	26215.71	17.85	2067.5	18.00477	0.155446
1993	28870.8	28455.06	13.18	2111.25	19.8375	0.123841
1994	31240.9	32318.95	26.17	2198	21.74888	0.258948
1995	32541.1	37458.59	26.24	2286.5	23.70291	0.272016
1996	33715.9	44543.65	23.9	2362.5	25.77185	0.260718
1997	34377.8	52193.14	15.86	4650	28.41819	0.096927
1998	37339.3	61515.89	10.54	8025	50.45315	0.066265
1999	42990.5	93666.5	56.12	7100	51.4649	0.40679
2000	37171	96450.5	125.67	9595	56.27457	0.737053
2001	39458	102656.7	19.35	10400	63.33653	0.117842
2002	38828	107393.5	30.12	8940	69.61722	0.234549
2003	37398	113760.5	30.3	8465	73.21007	0.262051
2004	42986	120943.9	39.8	9290	77.8961	0.333721
2005	39929	124591.1	58.34	9830	91.22762	0.541426
2006	35027	131088.8	58.96	9020	97.2468	0.635662
2007	33787	136645.5	95.92	9419	102.52	1.04403
2008	36247.7	138424.9	35.82	10950	113.86	0.372463
