time	deltaGDP	deltastock
1	3.1757413	1.6751499
2	4.586927	0.24647807
3	5.4101997	0.33324052
4	5.6818697	0.96918334
5	4.6185707	0.14731846
6	3.1090502	0.10403481
7	1.6784688	-0.067023247
8	2.3089202	1.7611975
9	-0.67828922	-1.5872325
10	0.83684554	2.7123798
11	-0.47674153	0.030678348
12	-3.1384654	-1.8961175
13	-5.1246163	-1.8786084
14	-2.7397481	1.7123364
15	-3.7341907	-1.4523858
16	-2.85233	-0.13120187
17	-2.1267672	-0.61735128
18	-3.0407142	-2.3590173
19	-0.066143874	1.2545321
20	-0.010980717	-1.1825796
21	1.9477784	1.0773069
22	2.1647391	-0.24274841
23	3.8950717	1.5008283
24	3.7474241	0.050761833
25	3.7598521	0.66393103
26	0.77177772	-1.9255619
27	-0.20147027	-0.04727604
28	0.067571034	0.94624263
29	-0.84963972	-0.42218557
30	-1.4749185	-0.35524183
31	-2.3743186	-0.6078762
32	-0.70844444	1.5901475
33	-1.713163	-1.3319138
34	0.97821583	2.3060447
35	1.201938	0.21588042
36	1.020997	0.34441064
37	1.5544132	1.1261831
38	-1.0259549	-2.0905697
39	-1.7911822	-0.32568456
40	-2.1161402	-0.23646323
41	-0.77886677	1.1735679
42	-0.75576725	-0.18343546
43	-0.38232892	0.080926422
44	-1.6153311	-1.4686559
45	-0.97742919	0.14473387
46	-0.11346887	0.24943432
47	0.65845719	0.21477282
48	0.68646555	-0.53217079
49	1.393987	0.63033042
50	-0.32114025	-1.5676065
51	1.8758211	2.4311353
52	1.8931677	0.91832877
53	0.94880019	-0.13971628
54	-0.99845738	-1.1433782
55	-1.4505592	0.12910643
56	-1.2056262	0.68584003
57	-2.897285	-1.3248103
58	-2.4982727	0.33137955
59	-2.1913328	-0.0408255
60	-1.6730467	0.02410694
61	-0.89429306	0.40429448
62	-1.2111624	-0.78677617
63	-2.5854466	-1.9165523
64	-0.98803041	0.70430743
65	0.47940276	0.50096196
66	1.118534	-0.47191756
67	0.25619501	-1.6429811
68	0.66121229	-0.3686289
69	1.8919509	1.0694488
70	3.5337526	1.392044
71	2.7151608	-0.63815382
72	2.1640682	-0.091878751
73	1.5803045	-0.080043311
74	1.7204216	0.31190099
75	-0.27529777	-1.9146613
76	-0.76143176	-0.29452261
77	-1.7176719	-1.2982318
78	-1.5913815	-0.36405839
79	0.36852325	0.96609154
80	0.82393154	-0.37616387
81	0.22314703	-1.1118156
82	0.20078989	-0.85044314
83	0.88350345	-0.005555216
84	1.0559014	-0.25424491
85	-0.40925176	-1.8551189
86	0.16072943	0.11855489
87	-0.32497824	-0.67486071
88	0.45520933	0.71827674
89	0.80720441	0.5393128
90	0.47738501	-0.040185715
91	0.14065275	0.34431832
92	-0.22193055	0.33879376
93	-0.35813337	0.017667563
94	0.54618006	1.0790612
95	2.0149542	1.5346105
96	3.1892122	1.6741236
97	3.6238168	0.9534546
98	3.4610356	0.97707604
