Month	StockA	stockB	LogChangeStockA	LogChangeStockB
1	4.0775	-3.2476	NA	NA	
2	4.0775	-3.2404	0	0.72
3	4.0431	-3.2797	-3.44	-3.93
4	4.0254	-3.3	-1.77	-2.03
5	4.0431	-3.2816	1.77	1.84
6	4.0604	-3.2606	1.73	2.1
7	4.0604	-3.2627	0	-0.21
8	4.0604	-3.2359	0	2.68
9	4.0943	-3.2053	3.39	3.06
10	4.0943	-3.1845	0	2.08
11	4.1271	-3.1773	3.28	0.72
12	4.1897	-3.1516	6.26	2.57
13	4.1897	-3.1792	0	-2.76
14	4.1589	-3.2123	-3.08	-3.31
15	4.1589	-3.209	0	0.33
16	4.1897	-3.2102	3.08	-0.12
17	4.2341	-3.1962	4.44	1.4
18	4.3307	-3.1506	9.66	4.56
19	4.4188	-3.1198	8.81	3.08
20	4.3944	-3.1533	-2.44	-3.35
21	4.382	-3.1722	-1.24	-1.89
22	4.3694	-3.1756	-1.26	-0.34
23	4.3567	-3.1825	-1.27	-0.69
24	4.3175	-3.2052	-3.92	-2.27
25	4.2905	-3.2501	-2.7	-4.49
26	4.2905	-3.2202	0	2.99
27	4.2905	-3.2316	0	-1.14
28	4.3307	-3.2213	4.02	1.03
29	4.3307	-3.226	0	-0.47
30	4.3307	-3.2532	0	-2.72
31	4.3041	-3.2834	-2.66	-3.02
32	4.2905	-3.2998	-1.36	-1.64
33	4.3041	-3.3052	1.36	-0.54
34	4.3307	-3.2984	2.66	0.68
35	4.3944	-3.2848	6.37	1.36
36	4.4308	-3.2823	3.64	0.25
37	4.4308	-3.2752	0	0.71
38	4.4308	-3.2715	0	0.37
39	4.4308	-3.279	0	-0.75
40	4.4308	-3.2988	0	-1.98
41	4.4308	-3.3091	0	-1.03
42	4.4308	-3.3125	0	-0.34
43	4.4427	-3.298	1.19	1.45
44	4.4773	-3.2949	3.46	0.31
45	4.4998	-3.2878	2.25	0.71
46	4.5539	-3.2379	5.41	4.99
47	4.5433	-3.2331	-1.06	0.48
48	4.5218	-3.2331	-2.15	0
49	4.5218	-3.2296	0	0.35
50	4.4998	-3.232	-2.2	-0.24
51	4.4998	-3.228	0	0.4
52	4.5218	-3.2282	2.2	-0.02
53	4.5747	-3.2161	5.29	1.21
54	4.5539	-3.2116	-2.08	0.45
55	4.5539	-3.2062	0	0.54
56	4.5539	-3.1976	0	0.86
57	4.5643	-3.1962	1.04	0.14
58	4.5951	-3.1671	3.08	2.91
59	4.6052	-3.1714	1.01	-0.43
60	4.6151	-3.174	0.99	-0.26
61	4.7622	-3.0561	14.71	11.79
62	4.8903	-2.89	12.81	16.61
63	5.1358	-2.6651	24.55	22.49
64	5.3519	-2.4663	21.61	19.88
65	5.4848	-2.3704	13.29	9.59
66	5.6276	-2.227	14.28	14.34
67	5.5607	-2.3167	-6.69	-8.97
68	5.3423	-2.4675	-21.84	-15.08
69	5.2627	-2.5293	-7.96	-6.18
70	5.2781	-2.5366	1.54	-0.73
71	5.2883	-2.5333	1.02	0.33
72	5.2627	-2.5416	-2.56	-0.83
73	5.2832	-2.5655	2.05	-2.39
74	5.2679	-2.5683	-1.53	-0.28
75	5.273	-2.5773	0.51	-0.9
76	5.2627	-2.6052	-1.03	-2.79
77	5.2417	-2.6487	-2.1	-4.35
78	5.2204	-2.6751	-2.13	-2.64
79	5.2149	-2.6968	-0.55	-2.17
80	5.2257	-2.697	1.08	-0.02
81	5.2417	-2.6899	1.6	0.71
82	5.2679	-2.6826	2.62	0.73
83	5.2933	-2.6493	2.54	3.33
84	5.3327	-2.6336	3.94	1.57
85	5.3471	-2.6061	1.44	2.75
86	5.5947	-2.4512	24.76	15.49
87	5.6836	-2.3483	8.89	10.29
88	5.8021	-2.2793	11.85	6.9
89	5.8972	-2.2463	9.51	3.3
90	5.9135	-2.2195	1.63	2.68
91	5.9081	-2.1916	-0.54	2.79
92	5.948	-2.1608	3.99	3.08
93	6.021	-2.0929	7.3	6.79
94	6.107	-2.0324	8.6	6.05
95	6.1485	-2.007	4.15	2.54
96	6.1944	-1.9792	4.59	2.78
97	6.2879	-1.889	9.35	9.02
98	6.3665	-1.8373	7.86	5.17
99	6.4249	-1.8149	5.84	2.24
100	6.4877	-1.7964	6.28	1.85
101	6.5695	-1.7614	8.18	3.5
102	6.6477	-1.7177	7.82	4.37
103	6.7007	-1.6844	5.3	3.33
104	6.7346	-1.6543	3.39	3.01
105	6.7616	-1.6441	2.7	1.02
106	6.8178	-1.633	5.62	1.11
107	6.8855	-1.604	6.77	2.9
108	6.9197	-1.5676	3.42	3.64
109	6.9613	-1.5505	4.16	1.71
110	7.0449	-1.5152	8.36	3.53
111	7.1229	-1.4669	7.8	4.83
112	7.1834	-1.4277	6.05	3.92
113	7.2158	-1.402	3.24	2.57
114	7.2975	-1.3554	8.17	4.66
115	7.3742	-1.3015	7.67	5.39
116	7.4932	-1.2445	11.9	5.7
117	7.6006	-1.1619	10.74	8.26
118	7.7215	-1.0987	12.09	6.32
119	7.8407	-1.0196	11.92	7.91
120	7.9981	-0.86297	15.74	15.663
121	8.2317	-0.64964	23.36	21.333
122	8.3855	-0.504	15.38	14.564
123	8.4833	-0.36505	9.78	13.895
124	8.618	-0.27695	13.47	8.81
125	8.7623	-0.15015	14.43	12.68
126	8.9268	0	16.45	15.015
127	9.0516	0.10836	12.48	10.836
128	9.1673	0.19182	11.57	8.346
129	9.2551	0.24106	8.78	4.924
130	9.333	0.28806	7.79	4.7
131	9.4191	0.33846	8.61	5.04
132	9.4927	0.37496	7.36	3.65
133	9.5581	0.40765	6.54	3.269
