Month	Year	er	r	dy	s	dp	rb
12	47	2.875661	-14.623795	0.09	1.28	5.570852	0.45
1	48	-3.84716	-12.807394	0.06	1.23	5.505022	0.461667
2	48	-4.533513	11.110003	0.01	1.2	5.745935	0.418333
3	48	7.858955	4.527391	0.01	1.19	6.098407	0.375
4	48	3.620259	-16.091739	0	1.18	5.779179	0.32
5	48	7.09941	-7.389827	0.01	1.09	5.613556	0.273333
6	48	-0.0825	-7.321852	-0.01	1.2	5.228579	0.205
7	48	-5.253637	-13.837775	0.01	1.2	5.367148	0.160833
8	48	0.302558	-4.057014	0.07	1.14	5.623584	0.18
9	48	-3.073448	1.06	0.02	1.11	5.767914	0.155833
10	48	5.713775	6.127014	0	1.14	6.04189	0.1275
11	48	-9.581746	9.289498	0.02	1.1	5.801355	0.118333
12	48	3.06944	9.366048	0.01	1.07	6.586761	0.104167
1	49	0.202963	2.770064	0.02	1.01	6.509892	0.106667
2	49	-3.007804	14.493844	0.01	0.99	6.513129	0.1025
3	49	3.907135	-2.214939	-0.03	0.99	6.879617	0.058333
4	49	-1.914193	-0.563959	0.01	0.98	6.698734	0.0575
5	49	-2.866122	2.793959	-0.03	1	6.877815	0.015833
6	49	0.252377	-0.583959	-0.07	0.98	7.181675	-0.0625
7	49	5.313238	9.413243	-0.06	1.02	7.249952	-0.125833
8	49	2.53647	-2.404345	0.02	0.93	6.878608	-0.103333
9	49	3.075273	-4.048898	0.03	0.91	6.83623	-0.066667
10	49	3.022668	7.719892	-0.02	0.93	6.578655	-0.080833
11	49	1.82087	-0.690994	0.02	0.9	6.28637	-0.053333
12	49	5.042733	7.748149	0.02	0.84	6.564205	-0.025833
1	50	1.532599	6.108558	0.04	0.89	6.247083	0.020833
2	50	1.352097	4.622355	0.03	0.89	6.172591	0.055833
3	50	1.116604	-4.147597	-0.02	0.94	6.183039	0.039167
4	50	3.846205	-0.612851	0.03	0.94	6.162008	0.071667
5	50	4.111673	-3.95427	0.03	0.93	5.909834	0.1025
6	50	-5.914919	-5.579285	-0.01	0.97	5.867022	0.088333
7	50	1.488247	-10.538969	0.03	0.95	6.224076	0.109167
8	50	4.815678	-8.752447	0.09	0.87	6.149882	0.1825
9	50	4.661547	-7.096823	0.04	0.86	6.290263	0.2
10	50	-0.247698	-5.22773	-0.11	1.01	6.134661	0.066667
11	50	2.762648	-3.68517	0.13	0.91	6.183257	0.180833
12	50	5.452183	-14.766236	-0.06	0.98	6.610599	0.095833
1	51	5.525832	-17.904322	-0.04	0.97	6.351466	0.0375
2	51	1.402904	-12.851829	0	1.04	6.05379	0.025833
3	51	-2.225853	-3.440895	0.23	0.87	6.112867	0.246667
4	51	4.734728	-0.106301	-0.11	1.07	6.310793	0.106667
5	51	-2.393387	-3.296985	0.01	1.22	6.018962	0.098333
6	51	-2.664988	2.880347	0.04	1.13	6.363563	0.121667
7	51	6.736436	-0.160347	0.11	0.91	6.574326	0.210833
8	51	4.284316	1.49	0.05	0.81	6.153343	0.233333
9	51	0.766551	-6.132214	0.06	0.83	5.919704	0.269167
10	51	-2.395018	-4.502648	-0.34	1.25	5.859677	-0.096667
11	51	0.493704	-4.949408	0.13	1.14	6.054287	0.026667
