Wilayah	Obs	BANTUAN	YCAP	POP	PAD	SDO	BHPBP
KLPROGO	88/89	1425546	435526	419	491157	2011924	310644
KLPROGO	89/90	1830884	479123	420	840404	2303464	364723
KLPROGO	90/91	3663068	539452	421	981868	2499176	441603
KLPROGO	91/92	4794094	623566	422	1162409	2786335	642617
KLPROGO	92/93	5844387	701026	423	1189691	3230905	1222304
KLPROGO	93/94	7307389	740276	424	1493146	3964174	1927980
KLPROGO	94/95	5792939	903819	426	1881885	4280630	2874947
BANTUL	88/89	2314370	39229	685	941406	2030145	547729
BANTUL	89/90	2598096	421641	691	1102415	2549748	634903
BANTUL	90/91	4737875	496882	697	1370136	2846302	755445
BANTUL	91/92	6738392	582566	710	1878962	3380793	807358
BANTUL	92/93	7847546	643451	718	2454605	4125549	1437279
BANTUL	93/94	8041813	774285	725	2494205	4837708	2166865
BANTUL	94/95	8427426	926757	732	3118588	5185432	3199684
GNKIDUL	88/89	2022850	459296	654	822101	2341085	410276
GNKIDUL	89/90	2424461	483877	704	939831	2678916	452447
GNKIDUL	90/91	5045937	543074	707	1169435	2789259	642191
GNKIDUL	91/92	6338937	582178	710	1387267	3363586	692918
GNKIDUL	92/93	8895931	706175	713	1575922	3487614	1338906
GNKIDUL	93/94	8440303	762414	717	1888178	4739240	2304287
GNKIDUL	94/95	9300002	915758	721	2139780	4525480	3563796
SLEMAN	88/89	1611746	483713	753	1751822	2282936	704368
SLEMAN	89/90	2496174	540565	759	2114612	2590774	761856
SLEMAN	90/91	5719510	62415	763	2384367	2866663	902256
SLEMAN	91/92	7161940	743399	766	2955461	3366893	993385
SLEMAN	92/93	8820114	850968	774	2900155	3942863	1710535
SLEMAN	93/94	10262753	1060062	774	3467932	4866394	2525704
SLEMAN	94/95	10446460	1287924	784	5168421	5318509	4087650
YOGYA	88/89	94758	915216	430	3777696	3406041	81562
YOGYA	89/90	2002179	1052122	435	4339078	3681633	903965
YOGYA	90/91	3328928	1217917	440	4831770	4168775	1280422
YOGYA	91/92	3890322	1415660	445	3542722	5096644	1455636
YOGYA	92/93	4804406	1598602	449	7948501	5635809	2200445
YOGYA	93/94	5236682	1843651	456	10246384	6940780	405585
YOGYA	94/95	6544334	2183284	462	12549223	7417300	5454344
