Date	FXUSDollar	CPI	SBI	World_Oil_Prices
Jan-96	2311	35.68	13.99	17.79
Feb-96	2322	35.82	13.92	17.69
Mar-96	2336	35.96	13.99	19.46
Apr-96	2342	36.25	13.98	20.78
May-96	2354	36.25	13.99	19.12
Jun-96	2342	36.53	13.99	18.56
Jul-96	2353	36.53	13.92	19.56
Aug-96	2363	36.53	13.96	20.19
Sep-96	2340	36.96	13.96	22.14
Oct-96	2352	37.38	13.93	23.43
Nov-96	2368	37.52	13.40	22.25
Dec-96	2383	37.80	12.80	23.51
Jan-97	2396	38.23	12.06	23.29
Feb-97	2406	37.95	11.75	20.54
Mar-97	2419	37.66	11.07	19.42
Apr-97	2433	37.52	10.72	17.98
May-97	2440	37.52	10.63	19.47
Jun-97	2450	37.38	10.50	18.02
Jul-97	2599	37.66	10.87	18.45
Aug-97	3035	38.65	13.67	18.79
Sep-97	3275	40.50	22.00	18.73
Oct-97	3670	43.47	20.70	20.12
Nov-97	3648	43.75	20.00	19.16
Dec-97	4650	48.28	20.00	17.24
Jan-98	10375	64.00	20.00	15.07
Feb-98	8750	68.96	22.00	14.18
Mar-98	8325	71.50	27.75	13.24
Apr-98	7970	70.09	46.43	13.39
May-98	10525	77.31	58.00	13.97
Jun-98	14900	86.51	58.00	12.48
Jul-98	13000	93.45	70.81	12.72
Aug-98	11075	90.76	70.73	12.49
Sep-98	10700	90.90	68.76	13.80
Oct-98	7550	86.37	59.72	13.26
Nov-98	7300	84.48	51.25	11.88
Dec-98	8025	83.06	38.44	10.41
Jan-99	8950	87.31	36.43	11.32
Feb-99	8730	89.01	37.50	10.75
Mar-99	8685	89.87	37.84	12.86
Apr-99	8260	90.15	35.19	15.73
May-99	8105	89.01	28.73	16.12
Jun-99	6726	87.60	22.05	16.24
Jul-99	6875	85.33	15.01	18.75
Aug-99	7565	88.16	13.20	20.21
Sep-99	8386	91.85	13.02	22.37
Oct-99	6900	89.87	13.13	22.19
Nov-99	7425	88.16	13.10	24.22
Dec-99	7100	90.43	12.51	25.01
Jan-00	7425	92.13	11.48	25.21
Feb-00	7505	93.27	11.13	27.15
Mar-00	7590	94.12	11.03	27.49
Apr-00	7945	94.68	11.00	23.45
May-00	8620	98.09	11.08	27.23
Jun-00	8735	100.92	11.74	29.62
Jul-00	9003	103.76	13.53	28.16
Aug-00	8290	101.49	13.53	29.41
Sep-00	8780	103.19	13.62	32.08
Oct-00	9395	104.61	13.74	31.40
Nov-00	9530	107.16	14.15	32.33
Dec-00	9595	106.59	14.53	25.28
Jan-01	9450	107.16	14.74	25.95
Feb-01	9835	108.58	14.79	27.24
Mar-01	10400	111.41	15.82	25.02
Apr-01	11675	114.53	16.09	25.66
May-01	11058	117.36	16.30	27.55
Jun-01	11440	119.06	16.55	26.97
Jul-01	9525	117.93	17.17	24.80
Aug-01	8865	112.54	17.67	25.81
Sep-01	9675	113.96	17.57	25.03
Oct-01	10435	114.81	17.58	20.73
Nov-01	10430	116.80	17.60	18.69
Dec-01	10400	115.66	17.62	18.52
Jan-02	10320	117.36	17.21	19.15
Feb-02	10189	117.93	16.86	19.98
Mar-02	9655	116.51	16.76	23.64
Apr-02	9316	115.38	16.61	25.43
May-02	8785	117.93	15.51	25.69
Jun-02	8730	115.21	15.11	24.49
Jul-02	9108	116.51	14.93	25.75
Aug-02	8867	116.23	14.35	26.78
Sep-02	9015	117.08	13.22	28.28
Oct-02	9233	118.78	13.10	27.53
Nov-02	8976	119.35	13.06	24.79
Dec-02	8940	120.20	12.93	27.89
Jan-03	8876	121.90	12.69	30.77
Feb-03	8905	122.75	12.24	32.88
Mar-03	8908	122.18	11.40	30.36
Apr-03	8675	119.92	11.06	25.49
May-03	8279	117.65	10.44	26.06
Jun-03	8285	117.08	9.53	27.91
Jul-03	8505	118.33	9.10	28.59
Aug-03	8535	118.54	8.91	29.68
Sep-03	8389	118.59	8.66	26.88
Oct-03	8495	119.61	8.48	29.01
Nov-03	8537	119.97	8.49	29.12
Dec-03	8465	121.06	8.31	29.95
Jan-04	8441	122.56	7.86	31.40
Feb-04	8447	122.98	7.48	31.32
Mar-04	8587	124.65	7.42	33.67
Apr-04	8661	126.03	7.33	33.71
May-04	9210	130.39	7.32	37.63
Jun-04	9415	131.54	7.34	35.54
Jul-04	9168	130.79	7.34	37.93
Aug-04	9328	132.97	7.37	42.08
Sep-04	9170	134.80	7.39	41.65
Oct-04	9090	136.07	7.41	46.87
Nov-04	9018	134.09	7.41	42.23
Dec-04	9290	133.52	7.43	39.09
Jan-05	9165	118.53	7.42	42.76
Feb-05	9260	118.33	7.43	44.35
Mar-05	9480	120.59	7.44	48.75
Apr-05	9570	121.00	7.70	46.00
May-05	9495	121.25	7.95	43.67
Jun-05	9713	121.86	8.25	52.55
Jul-05	9819	122.81	8.49	52.24
Aug-05	10240	123.48	9.51	58.74
Sep-05	10310	124.33	10.00	58.20
Oct-05	10090	135.15	11.00	53.32
Nov-05	10035	136.92	12.25	49.41
Dec-05	9830	136.86	12.75	51.66
Jan-06	9395	138.72	12.75	59.67
Feb-06	9230	139.53	12.74	54.17
Mar-06	9075	139.57	12.73	56.63
Apr-06	8775	139.64	12.74	66.85
May-06	9220	140.16	12.50	63.49
Jun-06	9300	140.79	12.50	62.26
Jul-06	9070	141.42	12.25	68.08
Aug-06	9100	141.88	11.75	66.45
Sep-06	9235	142.42	11.25	56.38
Oct-06	9110	143.65	10.75	53.58
Nov-06	9165	144.14	10.25	53.53
Dec-06	9020	145.89	9.75	57.22
Jan-07	9090	147.41	9.50	50.14
Feb-07	9160	148.32	9.25	54.46
Mar-07	9118	148.67	9.00	57.78
Apr-07	9083	148.43	9.00	63.25
May-07	8828	148.58	8.75	66.75
Jun-07	9054	148.92	8.75	68.29
Jul-07	9186	149.99	8.25	73.69
Aug-07	9410	151.11	8.25	67.10
Sep-07	9137	152.32	8.25	75.91
Oct-07	9103	153.53	8.25	81.27
Nov-07	9376	153.81	8.25	90.54
Dec-07	9419	155.50	8.00	89.76
Jan-08	9291	158.26	8.00	85.53
Feb-08	9051	159.29	7.93	93.51
Mar-08	9217	160.81	7.96	99.32
Apr-08	9234	161.73	7.99	111.03
May-08	9318	164.01	8.31	123.35
Jun-08	9225	110.08	9.20	128.33
Jul-08	9118	111.59	9.75	131.22
Aug-08	9153	112.16	9.28	121.87
Sep-08	9378	113.25	9.71	96.85
Oct-08	10955	113.76	10.98	69.16
Nov-08	10875	113.90	11.24	46.03
Dec-08	10550	113.86	9.25	38.60
