obs	IHSG	PGAS	SBI		
1	 1399.420	 1600.000	 9.500000
2	 1463.250	 1750.000	 9.500000
3	 1520.410	 1870.000	 9.500000
4	 1555.970	 1910.000	 9.500000
5	 1461.870	 1910.000	 9.500000
6	 1451.670	 1910.000	 9.500000
7	 1451.670	 1910.000	 9.500000
8	 1451.670	 1590.000	 9.500000
9	 1619.720	 1975.000	 9.500000
10	 1648.740	 2000.000	 9.500000
11	 1648.740	 2000.000	 9.500000
12	 1648.740	 2000.000	 9.500000
13	 1648.740	 2000.000	 9.500000
14	 1648.740	 2000.000	 9.250000
15	 1832.510	 2175.000	 9.250000
16	 1846.090	 2275.000	 9.250000
17	 1870.060	 2300.000	 9.250000
18	 1883.550	 2325.000	 9.250000
19	 1873.100	 2325.000	 9.250000
20	 1897.340	 2400.000	 9.250000
21	 1891.730	 2350.000	 9.250000
22	 1787.670	 2150.000	 9.250000
23	 1769.890	 2010.000	 9.250000
24	 1735.640	 1980.000	 9.250000
25	 1719.250	 1900.000	 9.250000
26	 1804.060	 2025.000	 9.250000
27	 1870.130	 2050.000	 9.250000
28	 1885.040	 1950.000	 9.250000
29	 1958.750	 2125.000	 9.250000
30	 2038.000	 2200.000	 9.250000
31	 2022.560	 2275.000	 9.250000
32	 2075.230	 2350.000	 9.250000
