Kode	price	pe	eps	roi	roe	bv
adro	2125	18	340.99	13.6	23.94	534.68
aali	24700	23.14	-36.88	29.43	29.18	3954
antm	2325	37.82	-55.77	6.39	7.46	855.71
asii	44700	18.26	9.25	25.01	27.52	9854
bisi	1480	23.64	-52.07	17.9	19.67	356.41
btel	142	38.22	-39.15	1.32	2.17	180.64
bumi	2475	28.48	-70.43	7.14	14.45	704.54
dewa	110	28.88	-31.15	1.72	1.36	145.26
elsa	550	7.61	209.95	22.41	28.52	288.9
elty	255	22.76	31.98	4.67	5.23	231.1
ggrm	28100	15.37	83.77	19.59	20.44	9512
hexa	4225	14.47	20.13	32.83	38.12	932.41
inco	4550	29.31	-52.57	9.23	10.99	1443
indf	3800	15.97	95.6	13.4	22.17	1157
indy	2875	17.55	10.59	12.27	18.73	1004
intp	14750	19.7	57.36	26.42	28.64	2901
isat	6100	17.28	-10.37	4.79	10.63	3296
itmg	37900	14.02	42.84	44.4	48.01	6320
jsmr	1900	17.99	9.97	6.02	11.51	1013
klbf	2050	21.12	33.38	25.73	23.42	459.85
lpkr	600	26.75	4.63	5.14	8.27	282.46
lsip	9800	18.65	-22.89	17.16	20.18	2795
medc	2625	316.34	-98.88	0.34	0.38	2171
pgas	4050	15.25	978.43	28.48	66.24	484
ptba	17450	14.91	59.72	48.36	56.24	2474
sgro	2675	17.92	-35.56	15.04	16.98	934.17
smcb	2150	19.03	217.39	13.99	29.28	432.59
smgr	8200	15.18	37.93	36.06	37.42	1571
tins	2300	40.5	-76.63	7.95	8.65	681.51
tlkm	8100	14.07	7.18	27.91	30.92	1982
untr	18800	16.17	27.9	24.08	30.57	4161
unvr	12400	30.7	26.46	81.9	89.49	485.3
