obs	Y	X1	X2	X3	X4	X5	TIME
1947	60.323	830	234.289	2356	1590	107.608	1
1948	61.122	885	259.426	2325	1456	108.632	2
1949	60.171	882	258.054	3682	1616	109.773	3
1950	61.187	895	284.599	3351	1650	110.929	4
1951	63.221	962	328.975	2099	3099	112.075	5
1952	63.639	981	346.999	1932	3594	113.27	6
1953	64.989	990	365.385	1870	3547	115.094	7
1954	63.761	1000	363.112	3578	3350	116.219	8
1955	66.019	1012	397.469	2904	3048	117.388	9
1956	67.857	1046	419.18	2822	2857	118.734	10
1957	68.169	1084	442.769	2936	2798	120.445	11
1958	66.513	1108	444.546	4681	2637	121.95	12
1959	68.655	1126	482.704	3813	2552	123.366	13
1960	69.564	1142	502.601	3931	2514	125.368	14
1961	69.331	1157	518.173	4806	2572	127.852	15
1962	70.551	1169	554.894	4007	2827	130.081	16
