Bulan	M2
Jan-93	119172
Feb-93	121147
Mar-93	123160
Apr-93	121073
May-93	121807
Jun-93	124540
Jul-93	127189
Aug-93	132531
Sep-93	136397
Oct-93	138460
Nov-93	141305
Dec-93	145202
Jan-94	146056
Feb-94	151068
Mar-94	148829
Apr-94	150059
May-94	150909
Jun-94	152798
Jul-94	154865
Aug-94	158963
Sep-94	162900
Oct-94	165407
Nov-94	168542
Dec-94	174512
Jan-95	176227
Feb-95	179789
Mar-95	181701
Apr-95	182737
May-95	185164
Jun-95	192126
Jul-95	196820
Aug-95	202085
Sep-95	206079
Oct-95	211148
Nov-95	215788
Dec-95	222638
Jan-96	222865
Feb-96	227948
Mar-96	232493
Apr-96	238004
May-96	242153
Jun-96	249443
Jul-96	253392
Aug-96	255284
Sep-96	259926
Oct-96	268320
Nov-96	277359
Dec-96	288632
Jan-97	290853
Feb-97	293240
Mar-97	294581
Apr-97	299277
May-97	303667
Jun-97	312839
Jul-97	317533
Aug-97	325911
Sep-97	329074
Oct-97	340744
Nov-97	330559
Dec-97	355643
Jan-98	450697
Feb-98	430241
Mar-98	449824
Apr-98	453396
May-98	493909
Jun-98	565785
Jul-98	556552
Aug-98	540861
Sep-98	550404
Oct-98	531977
Nov-98	550936
Dec-98	577381
Jan-99	596541
Feb-99	602666
Mar-99	603325
Apr-99	613140
May-99	628260
Jun-99	615411
Jul-99	627207
Aug-99	636529
Sep-99	652289
Oct-99	628896
Nov-99	639347
Dec-99	646205
Jan-00	650597
Feb-00	653334
Mar-00	656451
Apr-00	665651
May-00	683477
Jun-00	684335
Jul-00	689935
Aug-00	685602
Sep-00	686453
Oct-00	707447
Nov-00	720261
Dec-00	747028
Jan-01	738731
Feb-01	755898
Mar-01	766812
Apr-01	792227
May-01	788320
Jun-01	796440
Jul-01	771135
Aug-01	774037
Sep-01	783104
Oct-01	808514
Nov-01	821691
Dec-01	844053
Jan-02	838023
Feb-02	837160
Mar-02	831410
Apr-02	828278
May-02	833084
Jun-02	838635
Jul-02	852718
Aug-02	856835
Sep-02	859706
Oct-02	863010
Nov-02	870046
Dec-02	883908
Jan-03	873683
Feb-03	881215
Mar-03	877776
Apr-03	882809
May-03	893069
Jun-03	894555
Jul-03	901713
Aug-03	905499
Sep-03	911223
Oct-03	926324
Nov-03	944647
Dec-03	955692
Jan-04	947277
Feb-04	935745
Mar-04	935248
Apr-04	930832
May-04	952962
Jun-04	973398
Jul-04	974097
Aug-04	982669
Sep-04	988173
Oct-04	998167
Nov-04	1001590
Dec-04	1033880
Jan-05	1015874
Feb-05	1012144
Mar-05	1020693
Apr-05	1044253
May-05	1046192
Jun-05	1073746
Jul-05	1088376
Aug-05	1115874
Sep-05	1150451
Oct-05	1165741
Nov-05	1168267
Dec-05	1203215
Jan-06	1190834
Feb-06	1193864
Mar-06	1195067
Apr-06	1198013
May-06	1237504
Jun-06	1253757
Jul-06	1248236
Aug-06	1270378
Sep-06	1291396
Oct-06	1325658
Nov-06	1338555
Dec-06	1382074
Jan-07	1363907
Feb-07	1366820
Mar-07	1375947
Apr-07	1383577
May-07	1393097
Jun-07	1451974
Jul-07	1472952
Aug-07	1487541
Sep-07	1512756
Oct-07	1530145
Nov-07	1556200
Dec-07	1643203
Jan-08	1588962
Feb-08	1596090
Mar-08	1586795
Apr-08	1608874
May-08	1636383
Jun-08	1586795
Jul-08	1608874
Aug-08	1636383
Sep-08	1699480
